,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66
22,4483.04,1009.13,1033.97,49.22,9.11,93.39,1563.57,8.56,330.18,757.58,72.49,344.4,341.21,103.8,99.69,14.97,163.8,330.01,64.01,11.25,385.9,27.11,54.17,301.02,179.63,2536.45,24.13,213.87,163.8,122.49,156.32,108.94,5709.3,34.72,123.99,62.59,319.98,23.46,18.54,14.58,32.3,34132.16,232.07,1521.8,634.59,1804.36,220.4,910.97,390.11,260.03,1419.9,97.56,4.46,670.73,22.11,141.15,2358.7,964.0,2371.81,60.19,464.17,533.35,349.92,431.1,2514.53,312.87
23,4237.28,440.49,322.78,38.74,4.88,75.6,539.06,22.29,256.0,2326.24,132.46,423.86,523.64,54.95,104.12,28.88,197.84,260.94,53.06,10.02,252.7,36.83,49.74,279.92,158.81,3713.51,29.34,260.93,98.17,131.49,87.99,74.25,12297.49,23.81,125.28,65.11,409.17,31.32,19.3,9.92,15.57,18554.69,120.57,971.41,186.13,1204.37,216.32,995.45,795.31,174.0,1764.94,103.55,6.02,479.68,33.62,89.67,3228.65,661.67,1814.01,26.71,392.57,465.85,198.45,864.94,1606.83,188.53
30,196.97,230.05,87.06,11.52,4.01,7.12,325.68,2.31,48.62,105.49,22.56,72.33,29.41,7.93,15.15,1.86,27.2,28.58,4.93,0.95,47.73,4.2,10.58,53.58,44.07,167.12,5.52,26.08,15.72,23.57,43.68,7.32,2338.11,0.99,24.74,6.3,48.64,6.47,4.8,1.03,8.5,829.13,13.53,1385.87,16.7,123.61,18.05,62.17,75.31,19.52,181.35,12.47,1.31,32.68,2.61,22.0,308.94,1019.59,701.28,6.59,66.93,137.14,41.02,27.23,51.49,36.24
31,782.27,1445.22,880.42,10.89,4.38,12.94,1166.2,7.54,125.98,193.69,18.76,163.22,81.99,16.22,18.73,4.07,53.96,86.79,17.93,5.2,97.35,7.33,19.62,102.83,44.38,216.85,9.63,64.02,31.66,53.4,114.14,28.53,758.0,5.38,27.86,13.74,58.27,5.04,10.47,2.24,27.82,1633.6,124.56,1802.43,120.42,387.45,48.13,114.03,103.53,31.47,431.66,19.28,4.29,98.52,19.92,44.73,562.1,1112.36,1638.28,85.13,249.39,285.47,89.5,64.06,290.06,129.6
32,723.68,503.69,484.87,12.8,2.23,22.41,935.81,5.12,108.03,152.93,21.49,142.0,43.56,18.72,16.83,3.11,47.63,69.5,21.91,6.35,79.54,10.26,8.23,111.33,43.94,372.45,9.81,53.12,25.52,51.36,100.43,11.62,172.36,2.19,22.16,9.79,75.24,6.16,4.26,3.42,7.87,4733.72,82.68,2209.99,163.85,435.98,61.26,74.08,86.18,33.94,334.57,15.01,1.46,109.88,6.76,24.44,480.31,533.37,1137.51,42.74,178.65,244.91,74.66,39.71,293.3,89.48
33,4343.01,1532.66,1750.45,49.85,4.57,129.73,3497.74,19.69,430.0,643.2,99.12,409.62,291.5,100.46,105.83,21.24,200.92,285.86,78.61,19.53,399.42,39.21,93.97,396.62,271.53,2959.76,38.95,227.73,181.77,238.46,279.94,72.67,633.53,22.45,147.22,124.75,368.24,38.93,25.13,10.52,35.49,43356.71,373.71,8908.62,686.64,1961.99,251.2,478.22,431.43,289.91,1585.92,56.83,5.98,608.25,43.57,124.14,2906.94,1503.56,3804.09,128.92,550.38,913.18,394.6,256.84,1932.96,276.32
34,5969.73,2093.25,2487.44,98.11,8.81,170.34,3759.48,28.84,564.32,1131.87,159.91,553.32,470.52,155.34,143.67,35.61,267.1,444.52,82.25,27.61,620.46,40.92,135.14,597.19,442.0,4468.78,36.33,359.26,275.51,281.74,383.95,150.17,2266.58,40.24,217.54,94.52,550.23,68.14,18.96,17.58,48.51,82804.77,380.95,9225.83,1290.08,3213.55,368.42,973.17,518.78,510.73,2455.09,145.13,6.91,920.92,65.27,177.81,4438.21,1787.59,4738.64,170.81,738.39,1011.75,560.94,400.15,2502.99,474.69
35,7619.73,1831.18,2059.08,79.79,8.06,159.03,4486.57,31.24,737.89,1563.43,195.78,710.23,828.3,243.28,219.02,39.31,376.15,522.21,131.16,24.39,668.78,56.91,103.54,539.38,423.7,6530.14,61.48,412.4,287.7,271.63,351.81,196.91,7716.19,47.49,229.51,115.65,555.86,72.35,53.46,40.19,85.33,64437.31,407.54,3608.41,1395.41,2677.02,424.25,1424.79,669.14,517.5,3336.7,206.63,15.8,963.58,53.68,246.98,6602.5,1494.89,4681.89,148.95,921.47,1047.83,667.65,698.46,2937.96,571.55
42,903.0,734.92,367.23,44.29,3.53,115.84,1018.06,13.88,858.57,6361.74,62.1,369.33,128.78,75.54,200.58,28.12,156.77,240.46,27.99,18.4,301.78,22.45,85.46,320.41,278.34,807.74,17.89,199.44,76.26,109.5,155.43,31.0,32732.17,19.35,180.37,27.3,286.7,41.55,8.06,3.21,77.89,8904.71,193.34,8193.81,125.06,1993.91,237.5,694.02,364.03,95.93,1058.8,29.63,3.06,494.38,38.67,88.05,1586.2,3298.38,4105.42,20.9,319.62,633.43,391.4,346.18,1534.09,190.64
43,2214.1,973.11,607.51,26.98,1.95,79.42,3330.79,20.72,744.43,1998.93,98.26,418.89,131.78,111.7,286.17,24.56,245.36,272.56,69.66,8.85,393.09,15.97,59.6,305.98,189.77,903.77,35.01,315.74,103.99,127.2,244.17,67.51,11101.74,43.89,92.31,40.55,243.51,24.93,12.48,13.01,58.47,19533.62,469.63,2946.7,330.24,1698.04,209.16,737.3,263.19,199.41,2256.48,55.96,5.42,758.5,48.02,166.07,2176.43,2343.81,5869.89,31.79,416.42,761.07,631.08,292.86,3962.93,381.99
44,2276.59,932.1,863.98,22.31,6.35,59.64,2366.96,9.98,512.75,706.49,88.28,324.89,135.05,103.08,125.17,23.95,188.76,190.65,54.51,6.71,298.37,18.26,31.17,227.31,118.31,869.5,22.26,224.67,119.04,114.18,215.16,49.92,2769.18,32.47,83.84,50.48,179.32,21.94,12.56,11.53,30.84,24879.6,453.38,1491.03,402.27,1546.66,142.88,445.71,194.1,184.51,1782.75,53.7,4.41,584.74,20.81,163.49,1612.05,1328.38,3574.63,39.66,323.12,481.65,376.64,224.96,3876.19,331.08
45,3348.25,1476.98,1315.22,31.86,4.18,96.42,2253.73,18.86,597.6,777.25,143.39,556.89,249.24,139.67,156.96,28.87,216.03,334.05,100.06,14.19,430.25,25.59,64.41,331.15,216.14,2309.22,29.27,294.03,270.42,183.79,344.46,95.03,1635.84,49.18,119.55,60.84,252.76,25.8,18.1,13.9,40.28,38643.22,661.72,2581.11,657.99,3204.84,215.76,745.24,311.69,390.44,2209.72,80.29,10.14,1005.73,31.71,179.14,2499.42,1447.21,4189.78,60.72,490.0,763.56,494.4,410.22,6038.75,396.63
46,4962.82,1876.07,1969.75,52.39,5.06,115.66,2455.87,20.87,667.33,1203.34,248.2,856.53,404.58,167.09,304.09,46.64,309.35,397.34,128.26,13.75,516.13,39.04,87.8,436.22,274.63,4284.77,26.6,353.23,387.34,243.07,375.07,109.59,4764.02,98.38,194.33,109.46,333.18,42.35,28.86,15.31,62.75,51668.37,671.75,2347.44,1088.42,3706.88,348.12,1273.34,480.28,558.38,3483.24,121.08,4.39,1371.56,53.12,237.73,3427.09,1679.61,5054.0,73.57,653.2,1016.47,706.48,715.12,9794.03,494.5
47,6414.68,1255.05,1098.62,37.56,3.23,103.44,2343.25,21.99,621.81,1274.87,198.1,956.54,490.65,124.01,397.18,47.83,325.9,388.79,162.08,15.61,377.64,35.19,71.73,372.25,293.0,5875.98,37.74,493.18,275.7,271.02,235.94,141.73,6412.05,80.22,147.98,77.02,354.32,42.93,25.55,23.46,75.47,46203.25,404.84,2345.96,781.04,3178.16,324.76,1643.82,715.55,365.97,3863.91,130.39,6.72,1357.74,51.0,189.19,4587.14,1701.46,5245.34,69.01,725.62,983.01,449.58,1111.85,8617.46,314.26
48,4167.73,1405.76,900.81,67.95,10.01,115.38,3078.55,20.66,727.33,4301.65,182.67,734.65,295.26,171.76,417.14,49.55,448.7,515.65,65.21,22.64,813.07,58.11,117.48,482.49,346.45,1832.11,38.24,366.5,156.23,185.61,384.23,111.66,25251.42,43.39,159.43,76.5,521.28,46.24,28.86,27.31,129.54,34286.0,958.85,1038.16,352.58,1850.91,399.07,1297.59,731.74,314.47,1398.79,125.68,7.6,959.99,38.33,244.6,2226.6,1729.26,3947.93,33.3,681.25,872.96,810.26,349.17,2641.92,660.43
49,3283.9,2441.8,1899.04,62.41,4.2,95.73,2687.36,20.8,716.25,1140.83,105.03,606.72,296.33,199.89,121.68,33.88,329.68,460.27,60.4,6.91,762.7,48.77,61.63,352.57,247.57,1732.8,45.85,308.59,171.25,183.34,355.15,121.24,3347.72,43.16,137.58,61.71,327.33,32.78,19.68,24.83,98.67,40837.93,983.61,695.67,1206.34,1691.58,256.71,728.43,433.91,328.28,884.63,99.28,3.19,779.16,26.54,250.48,1349.79,1390.53,2867.21,111.8,530.11,713.1,636.74,248.22,3345.25,586.82
50,2802.14,1425.51,1573.81,32.5,4.23,59.39,1660.59,20.07,372.78,751.17,98.44,450.61,270.7,91.47,99.38,10.85,203.33,293.42,54.15,6.96,442.45,33.92,47.56,239.41,166.94,2454.94,33.24,158.8,151.71,121.45,258.86,113.81,479.19,25.8,77.79,50.37,272.42,25.18,26.67,20.19,63.46,26680.14,458.6,594.21,983.0,1681.59,214.12,501.51,402.2,293.46,761.07,72.28,2.41,521.64,23.48,149.32,1039.84,834.9,1845.58,68.33,396.09,524.85,418.0,207.88,2059.92,359.14
51,3264.69,1554.37,999.79,44.04,7.93,57.24,1667.17,14.56,341.92,609.08,107.69,422.6,304.35,86.45,87.94,14.55,210.61,294.56,53.48,4.53,406.16,26.99,57.13,242.6,159.33,2747.93,23.1,161.41,121.18,109.66,188.02,78.84,787.37,25.48,86.04,50.76,267.85,28.97,19.06,15.04,42.19,25632.07,445.12,570.3,793.99,1604.64,196.28,491.83,333.49,202.58,842.74,79.08,3.35,537.83,31.23,144.32,1062.65,703.65,1706.62,45.05,375.3,470.1,369.72,214.53,1910.95,277.31
52,5285.99,1664.08,1540.45,66.09,5.53,146.51,3781.9,25.67,649.32,1124.02,168.17,760.13,576.03,144.84,154.87,25.34,334.46,551.14,82.81,19.9,604.01,39.88,92.38,453.3,313.83,5326.88,39.23,337.4,223.26,177.13,288.99,127.27,3768.73,41.42,151.94,65.86,467.46,52.03,25.74,22.0,52.11,52969.66,524.86,1145.87,1001.58,2627.42,376.77,993.43,630.85,393.2,1826.71,163.35,5.25,1013.9,43.22,230.57,1974.36,1386.8,3340.16,71.17,598.47,824.24,570.21,361.49,3619.04,501.94
