,feature 1,feature 2,group
323,96248.0,20502.0,age >90
324,265920.0,9996.0,age >90
325,349140.0,8195.0,age >90
326,138511.0,12005.0,age >90
327,193016.0,11204.0,age >90
328,626013.0,7194.0,age >90
329,461572.0,9587.0,age >90
330,206030.0,13403.0,age >90
331,88154.0,8341.0,age >90
332,172477.0,5942.0,age >90
333,127610.0,8411.0,age >90
334,81820.0,14244.0,age >90
335,127422.0,18721.0,age >90
336,100634.0,17727.0,age >90
337,406539.0,13530.0,age >90
338,141540.0,13904.0,age >90
339,61022.0,13128.0,age >90
340,59575.0,17198.0,age >90
341,122775.0,24718.0,age >90
342,765798.0,22086.0,age >90
343,1683078.0,10788.0,age >90
344,989690.0,10157.0,age >90
345,828302.0,8640.0,age >90
346,478831.0,10059.0,age >90
347,173580.0,7827.0,age >90
348,652275.0,9040.0,age >90
349,196556.0,20561.0,age >90
350,161036.0,16784.0,age >90
351,64203.0,7357.0,age >90
352,69466.0,17055.0,age >90
353,136873.0,13928.0,age >90
354,76282.0,20701.0,age >90
355,238826.0,15636.0,age >90
356,97610.0,15150.0,age >90
357,1518501.0,6330.0,age >90
358,115881.0,13526.0,age >90
359,551711.0,9515.0,age >90
360,439609.0,9537.0,age >90
361,146737.0,17168.0,age >90
362,128300.0,10353.0,age >90
363,52240.0,9926.0,age >90
364,224394.0,11698.0,age >90
365,126539.0,22007.0,age >90
366,218131.0,7245.0,age >90
367,343077.0,10205.0,age >90
368,287082.0,11244.0,age >90
369,135043.0,10944.0,age >90
370,3110277.0,17304.0,age >90
371,88478.0,11869.0,age >90
372,234960.0,8309.0,age >90
373,90473.0,6398.0,age >90
374,214123.0,16237.0,age >90
375,225468.0,15234.0,age >90
376,79672.0,8045.0,age >90
377,272939.0,19656.0,age >90
378,372813.0,22310.0,age >90
379,517050.0,11587.0,age >90
380,45486.0,10988.0,age >90
381,408086.0,9384.0,age >90
382,871356.0,5332.0,age >90
383,264429.0,15203.0,age >90
384,81662.0,14484.0,age >90
385,359713.0,7502.0,age >90
386,128186.0,11801.0,age >90
387,402288.0,15670.0,age >90
388,85101.0,12202.0,age >90
389,181927.0,16459.0,age >90
390,364513.0,13019.0,age >90
391,51233.0,18644.0,age >90
392,616690.0,9270.0,age >90
393,205326.0,6650.0,age >90
394,226200.0,10434.0,age >90
395,272702.0,11487.0,age >90
396,302803.0,4952.0,age >90
397,149358.0,6830.0,age >90
398,179656.0,13258.0,age >90
399,4422205.0,9062.0,age >90
400,1227246.0,12285.0,age >90
401,138573.0,16057.0,age >90
402,1007484.0,14068.0,age >90
403,74669.0,4098.0,age >90
404,446161.0,14581.0,age >90
405,175638.0,11456.0,age >90
406,534889.0,13433.0,age >90
407,56732.0,8235.0,age >90
408,324311.0,8874.0,age >90
409,92278.0,14449.0,age >90
410,933967.0,7271.0,age >90
411,262787.0,10866.0,age >90
412,101241.0,10179.0,age >90
413,72073.0,16641.0,age >90
414,216630.0,8933.0,age >90
415,1228887.0,8076.0,age >90
416,82623.0,12451.0,age >90
417,247107.0,10025.0,age >90
418,283297.0,23439.0,age >90
419,198311.0,13706.0,age >90
420,79766.0,7664.0,age >90
421,512023.0,14119.0,age >90
422,105722.0,22789.0,age >90
423,81959.0,12808.0,age >90
424,133423.0,12641.0,age >90
425,1202639.0,8239.0,age >90
426,275309.0,23964.0,age >90
427,514743.0,7331.0,age >90
428,894230.0,9502.0,age >90
429,155119.0,11567.0,age >90
430,265401.0,6240.0,age >90
431,91770.0,30222.0,age >90
432,268571.0,12733.0,age >90
433,107841.0,13245.0,age >90
434,44954.0,10983.0,age >90
435,1154735.0,15701.0,age >90
436,266865.0,10557.0,age >90
437,560086.0,15417.0,age >90
438,461198.0,11524.0,age >90
439,337550.0,17731.0,age >90
440,226812.0,16383.0,age >90
441,82337.0,17960.0,age >90
442,100208.0,17419.0,age >90
443,381641.0,10273.0,age >90
444,124037.0,21801.0,age >90
445,137256.0,14049.0,age >90
446,264487.0,15037.0,age >90
447,219293.0,17005.0,age >90
448,191660.0,9312.0,age >90
449,723616.0,11027.0,age >90
450,122148.0,13119.0,age >90
451,820856.0,20006.0,age >90
452,592037.0,11656.0,age >90
453,163053.0,22691.0,age >90
454,46799.0,16798.0,age >90
455,152490.0,15277.0,age >90
456,78702.0,11188.0,age >90
457,718777.0,16012.0,age >90
458,878171.0,17941.0,age >90
459,121007.0,6966.0,age >90
460,1532364.0,12819.0,age >90
461,65256.0,13772.0,age >90
462,441835.0,8291.0,age >90
463,77314.0,5210.0,age >90
464,261590.0,13535.0,age >90
465,78911.0,9285.0,age >90
466,81541.0,9750.0,age >90
467,315946.0,7883.0,age >90
468,120224.0,17805.0,age >90
469,264927.0,13177.0,age >90
470,287375.0,15831.0,age >90
471,356756.0,12204.0,age >90
472,412203.0,17841.0,age >90
473,155880.0,7354.0,age >90
474,117483.0,12906.0,age >90
475,609981.0,15080.0,age >90
476,120978.0,9648.0,age >90
477,109172.0,12107.0,age >90
478,124929.0,8334.0,age >90
479,551346.0,16455.0,age >90
480,30481.0,32575.0,age >90
481,234788.0,21662.0,age >90
482,159030.0,17968.0,age >90
483,395286.0,21012.0,age >90
484,373488.0,13220.0,age >90
485,513573.0,17608.0,age >90
486,244829.0,20045.0,age >90
487,71030.0,11235.0,age >90
488,811524.0,15890.0,age >90
489,439514.0,9055.0,age >90
490,2063264.0,6412.0,age >90
491,143461.0,14216.0,age >90
492,117789.0,18999.0,age >90
493,1731982.0,9820.0,age >90
494,281264.0,15687.0,age >90
495,219466.0,17565.0,age >90
496,288164.0,20536.0,age >90
497,467073.0,13278.0,age >90
498,65178.0,14510.0,age >90
499,109915.0,39738.0,age >90
500,293482.0,20134.0,age >90
501,482868.0,19913.0,age >90
502,233727.0,14555.0,age >90
503,165994.0,13329.0,age >90
504,612112.0,11919.0,age >90
505,236359.0,8933.0,age >90
506,163660.0,6505.0,age >90
507,192160.0,8995.0,age >90
508,342916.0,12441.0,age >90
509,255555.0,14839.0,age >90
510,1411264.0,7268.0,age >90
511,166969.0,13101.0,age >90
512,137569.0,18408.0,age >90
513,141100.0,23490.0,age >90
514,671122.0,12887.0,age >90
515,205547.0,21156.0,age >90
516,858343.0,8191.0,age >90
517,135321.0,13861.0,age >90
518,95410.0,14481.0,age >90
519,300414.0,6356.0,age >90
520,90900.0,20161.0,age >90
521,168995.0,14812.0,age >90
522,86310.0,19461.0,age >90
523,246340.0,11114.0,age >90
524,647475.0,14499.0,age >90
525,245740.0,19511.0,age >90
526,73295.0,14983.0,age >90
527,422667.0,19766.0,age >90
528,879410.0,15382.0,age >90
529,639446.0,11989.0,age >90
530,129789.0,11645.0,age >90
531,56956.0,10895.0,age >90
532,61389.0,10527.0,age >90
533,1380949.0,17663.0,age >90
534,107045.0,15164.0,age >90
535,103280.0,19163.0,age >90
536,169432.0,17704.0,age >90
537,166528.0,33245.0,age >90
538,135035.0,6897.0,age >90
539,718374.0,17480.0,age >90
540,387975.0,19328.0,age >90
541,811203.0,9604.0,age >90
542,219442.0,23868.0,age >90
543,1077591.0,11135.0,age >90
544,755296.0,9292.0,age >90
545,114185.0,12626.0,age >90
546,117400.0,10020.0,age >90
547,130903.0,15073.0,age >90
548,111875.0,12532.0,age >90
549,868233.0,6938.0,age >90
550,230958.0,17485.0,age >90
551,82885.0,12323.0,age >90
552,132917.0,24484.0,age >90
553,609961.0,9868.0,age >90
554,616030.0,11135.0,age >90
555,245070.0,17382.0,age >90
556,583141.0,17812.0,age >90
557,662149.0,12623.0,age >90
558,259519.0,11508.0,age >90
559,329592.0,9875.0,age >90
560,327776.0,20173.0,age >90
561,99968.0,14484.0,age >90
562,126609.0,10981.0,age >90
563,710547.0,10199.0,age >90
564,211670.0,16359.0,age >90
565,313746.0,9520.0,age >90
566,136875.0,13883.0,age >90
567,2632477.0,11994.0,age >90
568,881949.0,4696.0,age >90
569,258236.0,7189.0,age >90
570,210722.0,16108.0,age >90
571,171109.0,7523.0,age >90
572,192924.0,13167.0,age >90
573,849158.0,11189.0,age >90
574,128218.0,14815.0,age >90
575,847632.0,9307.0,age >90
576,170245.0,14826.0,age >90
577,385676.0,8654.0,age >90
578,128269.0,11310.0,age >90
579,64571.0,25461.0,age >90
580,103580.0,25592.0,age >90
581,374114.0,12361.0,age >90
582,328262.0,12446.0,age >90
583,239802.0,14150.0,age >90
584,161807.0,8618.0,age >90
585,1247449.0,7177.0,age >90
586,563898.0,6949.0,age >90
587,467587.0,9323.0,age >90
588,217157.0,7701.0,age >90
589,430561.0,13433.0,age >90
590,518522.0,10305.0,age >90
591,739318.0,7794.0,age >90
592,177242.0,11964.0,age >90
593,165099.0,22834.0,age >90
594,262492.0,9618.0,age >90
595,176061.0,11119.0,age >90
596,383109.0,13956.0,age >90
597,311413.0,12300.0,age >90
598,251107.0,7768.0,age >90
599,272891.0,7385.0,age >90
600,358195.0,12722.0,age >90
601,503364.0,7345.0,age >90
602,225587.0,10943.0,age >90
603,57234.0,18038.0,age >90
604,1534963.0,11353.0,age >90
605,185653.0,18798.0,age >90
606,398034.0,10935.0,age >90
607,110543.0,7657.0,age >90
608,277727.0,12223.0,age >90
609,116929.0,13619.0,age >90
610,399845.0,7242.0,age >90
611,1157160.0,8306.0,age >90
612,249246.0,8612.0,age >90
613,128892.0,11413.0,age >90
614,159018.0,12221.0,age >90
615,216399.0,13586.0,age >90
616,529892.0,6646.0,age >90
617,249594.0,18154.0,age >90
618,263556.0,12073.0,age >90
619,64628.0,14914.0,age >90
620,129152.0,10988.0,age >90
621,974965.0,14985.0,age >90
622,233400.0,8637.0,age >90
623,112217.0,27449.0,age >90
624,119887.0,14042.0,age >90
625,166925.0,12071.0,age >90
626,253173.0,17123.0,age >90
627,463942.0,11195.0,age >90
628,99815.0,7058.0,age >90
629,172099.0,19372.0,age >90
630,91310.0,16306.0,age >90
631,609138.0,25223.0,age >90
632,662967.0,14316.0,age >90
633,204237.0,12513.0,age >90
634,790403.0,8869.0,age >90
635,221523.0,12913.0,age >90
636,1134996.0,16679.0,age >90
637,722040.0,10730.0,age >90
638,442643.0,14221.0,age >90
639,644507.0,11684.0,age >90
640,309686.0,27225.0,age >90
641,1033491.0,8114.0,age >90
642,299996.0,12041.0,age >90
643,88498.0,11387.0,age >90
644,270936.0,9653.0,age >90
645,349700.0,13893.0,age >90
646,223889.0,11268.0,age >90
647,206524.0,13192.0,age >90
648,309732.0,15939.0,age >90
649,214414.0,13058.0,age >90
650,195154.0,12253.0,age >90
651,478835.0,15225.0,age >90
652,101923.0,9348.0,age >90
653,351750.0,10690.0,age >90
654,74384.0,8669.0,age >90
655,428290.0,8986.0,age >90
656,394526.0,5726.0,age >90
657,105149.0,8624.0,age >90
658,164112.0,14769.0,age >90
659,185123.0,19051.0,age >90
660,176111.0,7752.0,age >90
661,172852.0,7676.0,age >90
662,554929.0,5105.0,age >90
663,769816.0,8442.0,age >90
664,332225.0,15472.0,age >90
665,220439.0,9561.0,age >90
666,67248.0,15965.0,age >90
667,194117.0,16992.0,age >90
668,837950.0,11654.0,age >90
669,175676.0,14527.0,age >90
670,241486.0,5343.0,age >90
671,208582.0,27171.0,age >90
672,242456.0,25448.0,age >90
673,88225.0,28559.0,age >90
674,284791.0,12491.0,age >90
675,100811.0,22518.0,age >90
676,103669.0,13636.0,age >90
677,594905.0,11713.0,age >90
678,334329.0,16497.0,age >90
679,311399.0,6777.0,age >90
680,250637.0,16829.0,age >90
