,Class,Lipid,"log2 Fold-Change, brain region 1","log2 Fold-Change, brain region 2",color
345,CAR,CAR 20:4,0.0379635885503511,-0.0664286332139348,#aaffc3
346,CAR,CAR 20:1,0.21019402751562,-0.0450127552542803,#aaffc3
348,LPC,LPC 16:0/0:0,0.0375300419744349,0.0706002123791869,#808000
349,LPC,LPC 16:0,-0.019157774479261,0.0250835329965433,#808000
350,LPC,LPC 18:1,0.0543325357404392,0.122738720604701,#808000
351,LPC,LPC 18:1/0:0,0.0954301336923038,0.106009321169896,#808000
352,LPC,LPC 18:0/0:0,0.111881254035652,0.0686153646782763,#808000
353,LPC,LPC 20:4,-0.0713430909750272,0.0561147358676557,#808000
354,Cer,Cer 36:2;O2|Cer 18:2;O2/18:0,-0.0421262401044125,0.0627034475853208,purple
355,Cer,Cer 36:1;O2|Cer 18:1;O2/18:0,-0.106278266735341,-0.105096267488292,purple
356,Cer,Cer 36:1;O2|Cer 18:1;O2/18:0,-0.177215437880005,0.217479094541677,purple
357,LPC,LPC 20:1/0:0,0.328848875828115,0.109136184192998,#808000
358,LPC,LPC 22:6,-0.0850403159859177,-0.00694672429374421,#808000
359,LPC,LPC 22:5,0.309836507601997,0.271803193607347,#808000
360,LPC,LPC 22:4,-0.0867716799901608,0.0579088908879513,#808000
361,Cer,Cer 38:1;O2|Cer 20:1;O2/18:0,-0.378364505574194,-0.188700118864684,purple
362,DG,DG 32:0|DG 16:0_16:0,0.000323035823758033,-0.0477963422662597,#000075
363,Cer,Cer 40:1;O2|Cer 18:1;O2/22:0,-0.22851458704536,-0.256768449104477,purple
364,LPC,LPC 24:0/0:0,0.452465167857934,-0.132712308395078,#808000
365,DG,DG 34:1|DG 16:0_18:1,0.0858647462350497,0.0899389403842967,#000075
366,Cer,Cer 42:3;O2|Cer 18:2;O2/24:1,0.127474510565222,0.107990842813642,purple
367,Cer,Cer 42:2;O2|Cer 18:1;O2/24:1,0.345574420227674,0.0895832328342649,purple
368,Cer,Cer 42:2;O2|Cer 18:1;O2/24:1,0.169760878926699,0.153396230172856,purple
369,Cer,Cer 42:2;O2|Cer 18:1;O2/24:1,0.291611940771762,-0.0362894744778721,purple
370,DG,DG 36:4|DG 16:0_20:4,0.00980216903093023,-0.0452912657234563,#000075
371,DG,DG 36:3|DG 16:0_20:3,0.243315609132406,0.00473669756491546,#000075
372,DG,DG 36:2|DG 18:1_18:1,0.1908147158269,-0.0357398142947041,#000075
373,DG,DG 36:1|DG 18:0_18:1,0.224899967688586,0.148136164460528,#000075
374,Cer,Cer 43:2;O2|Cer 18:1;O2/25:1,-0.0732685738188152,-0.122128186159895,purple
375,Cer,Cer 42:2;O3|Cer 18:1;O2/24:1;O,0.159496757497973,0.0625837549023132,purple
376,Cer,Cer 42:2;O3|Cer 18:1;O2/24:1;O,0.16752245950504,0.0108768940994146,purple
377,Cer,Cer 42:2;O3|Cer 18:2;O2/24:0;O,-0.0147318415790885,0.166768954409335,purple
378,Cer,Cer 42:1;O3|Cer 18:1;O2/24:0;O,-0.0320368901854948,-0.113706725138528,purple
